predictor_label,Democracy importance,EU support,External political efficacy,Generalised social trust,Institutional trust,Internal political efficacy,Left-right self-placement,Life satisfaction,Political interest,Religiosity,Confidence detecting misinfo,Foreign-actor topic salience,Misinfo seen as political,Perceived misinfo creators,Perceived misinfo impact,Pro-regulation of misinfo,Responsibility for prevention,Frequency of seeing manipulated news,Non-electoral participation (count),Reactions to suspected misinformation (count),Voted in last national election,Belief others try to be fair,Belief others try to be helpful,News use — TV / radio,News use — aggregate,News use — messaging apps,News use — online news / apps,News use — print,News use — social media / podcasts
ABAND,-0.05854620905998444,-0.19719359473287248,-0.28318556230018005,-0.15279916107050737,-0.4104781211285152,-0.0078616929188973,0.00677283613796086,-0.25340771233688086,0.01730772591514806,0.16417231259134996,0.04206279710701195,0.33039026716780034,0.116274005866421,0.3270882040339922,0.17741408089291505,0.01301396008015008,0.09425440296758444,-0.25627463371586856,0.11205995515189844,0.02270385676273767,-0.07976200325702879,-0.1638997029068349,-0.13194466735623858,-0.05304194488483265,0.12880902315074652,0.1807897311431547,0.00369633419796374,0.02798034119125891,0.22181222049012564
FEAR,0.1512128466226776,-0.03942946652747031,-0.07136918162314307,-0.02987566498063388,-0.00541224596714008,-0.06738874325032061,0.05385436749639639,-0.03324169465416114,-0.03318181114873184,0.1110153840540432,0.04516807953045244,0.17574238627980565,0.10649005872682224,0.2056302327898908,0.2547167494080179,0.19441403879644048,0.2761704947387526,-0.10354549584530272,-0.02334932961454073,0.05760282633574903,0.03379841683632063,-0.03353338886684129,-0.03081206840269731,0.1711737732444358,0.19499044221070064,0.13395957178635953,0.10198094523175762,0.09803847986455597,0.10490055995887818
GEN,-0.06236072791126004,-0.1521685511408166,-0.12502630767209785,-0.03594819108101963,-0.2278466515346889,0.05826229912378938,0.05575019889108301,-0.08347344502231505,-0.01832411676410855,0.21501941706660263,0.0740741585372595,0.30872247040443795,0.10305224071592446,0.2985014047427556,0.20064275596059675,0.03609053053241431,0.0853113732214842,-0.2446184989436915,0.09367614655786616,0.03615806120379442,-0.05577077493790626,-0.06863753874646601,-0.03610211703143991,-0.0453402638375857,0.14481072301120024,0.1794286656917884,0.02647662393092469,0.04991333397960916,0.2222256400323185
SUPF,-0.24610438567243348,-0.13457947915364832,0.02322075931709877,0.0949926979322369,-0.12576952334745056,0.15493304577115627,0.12159190299852132,-0.0234038329262105,-0.00720947146243278,0.2763552715727945,0.01687016160594413,0.19066403570917892,-0.01859916816177267,0.0902368203248666,0.03739813956668716,-0.08411734223767982,-0.10669292997856984,-0.1594225320355762,0.06608072980830919,-0.03961100400768366,-0.08787679210639443,0.02582590293102844,0.0853142380865362,-0.081150731121518,0.13514599031611674,0.200514939914197,-0.03499993607235906,0.10768598619005793,0.20690938050734525
SUPFCH,-0.16466977046543732,-0.03415425661373891,0.06993341321152258,0.1409878258006502,-0.00625502956945805,0.17883290184264672,0.10054571936548136,0.01328935954699015,-0.07508413746785168,0.2250077694881454,0.04341997543957673,0.15904297545086943,0.01625936014038846,0.08758737899511801,0.0768917971847806,-0.03969962098503246,-0.03991627860784271,-0.16363588116254474,0.068272560828526,6.691819715405462e-4,-0.04460290307552273,0.06877511777181675,0.1202153748199337,-0.03640134071885782,0.16347647588499256,0.19783344911606104,0.03252686682843654,0.1129109859006788,0.18545456504247887
THREAT,-0.02048021160581477,-0.24650853082557017,-0.15629513474736093,-0.12722335633596685,-0.27217640625445705,-0.01830431553430772,0.22860967473300997,-0.11477890614098626,-0.03098220357119998,0.2210978371553211,0.04663802936609206,0.3040559391785672,0.13383107414690704,0.3214812550091825,0.186945870974217,0.04527615819283405,0.13988187516261075,-0.24525518549249675,-0.01869500962162472,0.02205462065992631,-0.02418723030915945,-0.1402542973829643,-0.09964133355830844,0.07631423413746416,0.14353226980236672,0.1408640702236738,0.03007186359639234,0.07590823409909239,0.11804645285190454
