country_iso3,lhs,rhs,est,se,z,pvalue,std.all,converged,warnings,fallback_method
AUT,FIMI,GEN,-0.062263870530251786,0.04084786519717794,-1.5242870154828414,0.12796656562583533,-0.062263870530251786,TRUE,NA,marginal_factor_score_correlation
AUT,FIMI,THREAT,0.12165417923006663,0.040623290030774056,2.994690462980912,0.002861037633685743,0.12165417923006663,TRUE,NA,marginal_factor_score_correlation
AUT,FIMI,ABAND,0.027412046161071395,0.04091189577152599,0.6700263002759634,0.5031001009687074,0.027412046161071395,TRUE,NA,marginal_factor_score_correlation
AUT,FIMI,FEAR,0.27933233848778033,0.03929814408383364,7.108028763187605,3.37220375617501e-12,0.27933233848778033,TRUE,NA,marginal_factor_score_correlation
AUT,FIMI,SUPF,-0.10230220330077805,0.040712545019228705,-2.5127931268472725,0.012240346092891383,-0.10230220330077805,TRUE,NA,marginal_factor_score_correlation
BEL,FIMI,GEN,-0.05857508905109168,0.0409945696017675,-1.4288499579360432,0.15357388459900043,-0.05857508905109168,TRUE,NA,marginal_factor_score_correlation
BEL,FIMI,THREAT,0.24620171907467014,0.03980103792329793,6.185811524542015,1.1517953016430978e-9,0.24620171907467014,TRUE,NA,marginal_factor_score_correlation
BEL,FIMI,ABAND,0.12389257839967516,0.04074869780386558,3.040405830782701,0.0024668284425612193,0.12389257839967516,TRUE,NA,marginal_factor_score_correlation
BEL,FIMI,FEAR,0.3779529531623395,0.03801906784395449,9.941142026774829,1.216471970114664e-21,0.3779529531623395,TRUE,NA,marginal_factor_score_correlation
BEL,FIMI,SUPF,-0.052466948420728785,0.04100851758938972,-1.2794158751620845,0.20125101252748614,-0.052466948420728785,TRUE,NA,marginal_factor_score_correlation
BGR,FIMI,GEN,-0.06680984197538865,0.04107736489607706,-1.626439333302246,0.10439017502935705,-0.06680984197538865,TRUE,NA,marginal_factor_score_correlation
BGR,FIMI,THREAT,0.1650998549083217,0.04060437560768859,4.0660606754179325,5.430221614696313e-5,0.1650998549083217,TRUE,NA,marginal_factor_score_correlation
BGR,FIMI,ABAND,0.13949075777126219,0.040766851116978566,3.421671135967799,6.65439058755972e-4,0.13949075777126219,TRUE,NA,marginal_factor_score_correlation
BGR,FIMI,FEAR,0.31109787573686154,0.03912643806231394,7.95109115839775,9.455069659983796e-15,0.31109787573686154,TRUE,NA,marginal_factor_score_correlation
BGR,FIMI,SUPF,-0.09229666125603973,0.04099361931170339,-2.2514884707847616,0.024721715804038945,-0.09229666125603973,TRUE,NA,marginal_factor_score_correlation
DEU,FIMI,GEN,-0.1715662454415445,0.04035424146734165,-4.251504654854971,2.4645281753755423e-5,-0.1715662454415445,TRUE,NA,marginal_factor_score_correlation
DEU,FIMI,THREAT,0.1479592632784132,0.04051075042525085,3.652345654554658,2.827273054056852e-4,0.1479592632784132,TRUE,NA,marginal_factor_score_correlation
DEU,FIMI,ABAND,0.016863138499259148,0.040955771580715415,0.41174022240126434,0.6806778704486147,0.016863138499259148,TRUE,NA,marginal_factor_score_correlation
DEU,FIMI,FEAR,0.26668402889185383,0.03947813150344594,6.755234321780799,3.396510729662576e-11,0.26668402889185383,TRUE,NA,marginal_factor_score_correlation
DEU,FIMI,SUPF,-0.16468843781070794,0.040402291583362296,-4.0762152679113575,5.198180843747826e-5,-0.16468843781070794,TRUE,NA,marginal_factor_score_correlation
EST,FIMI,GEN,-0.2692970439452555,0.039251279728642285,-6.860847488464055,1.7041939962046532e-11,-0.2692970439452555,TRUE,NA,marginal_factor_score_correlation
EST,FIMI,THREAT,-0.03802898229569157,0.04072747520679608,-0.9337426909622373,0.35081099881343647,-0.03802898229569157,TRUE,NA,marginal_factor_score_correlation
EST,FIMI,ABAND,-0.1113200732920821,0.04050363671138166,-2.748396991739776,0.006168314953912148,-0.1113200732920821,TRUE,NA,marginal_factor_score_correlation
EST,FIMI,FEAR,0.09995133362211263,0.0405528597847656,2.464717264148683,0.013990267396770619,0.09995133362211263,TRUE,NA,marginal_factor_score_correlation
EST,FIMI,SUPF,-0.2903089248105386,0.039001676601140046,-7.443498590572198,3.4063370739229877e-13,-0.2903089248105386,TRUE,NA,marginal_factor_score_correlation
FRA,FIMI,GEN,-0.18576905080319028,0.040316297006495555,-4.607790511446528,4.983576319594667e-6,-0.18576905080319028,TRUE,NA,marginal_factor_score_correlation
FRA,FIMI,THREAT,0.129848178829027,0.04068312819778674,3.1916960317739544,0.0014890860027088758,0.129848178829027,TRUE,NA,marginal_factor_score_correlation
FRA,FIMI,ABAND,0.07953169025179235,0.040900526250302355,1.9445150843555326,0.05230502562082105,0.07953169025179235,TRUE,NA,marginal_factor_score_correlation
FRA,FIMI,FEAR,0.32245699942273526,0.03883881661386104,8.302441411349665,6.900744852734975e-16,0.32245699942273526,TRUE,NA,marginal_factor_score_correlation
FRA,FIMI,SUPF,-0.204572299272824,0.040162761752644875,-5.093581475615334,4.725688282427893e-7,-0.204572299272824,TRUE,NA,marginal_factor_score_correlation
HUN,FIMI,GEN,-0.27726091828708216,0.039322707800048304,-7.050911135034846,4.932081895089312e-12,-0.27726091828708216,TRUE,NA,marginal_factor_score_correlation
HUN,FIMI,THREAT,0.0030917127885411264,0.04092707984750777,0.07554198345107181,0.9398088016374344,0.0030917127885411264,TRUE,NA,marginal_factor_score_correlation
HUN,FIMI,ABAND,0.14233516797618875,0.04051057516372479,3.5135311557768953,4.7564960792030044e-4,0.14233516797618875,TRUE,NA,marginal_factor_score_correlation
HUN,FIMI,FEAR,0.20799204917541764,0.0400322170818554,5.1956165393020415,2.8044315308104246e-7,0.20799204917541764,TRUE,NA,marginal_factor_score_correlation
HUN,FIMI,SUPF,-0.27134907924044943,0.03939172504476389,-6.888479215675229,1.434424555207997e-11,-0.27134907924044943,TRUE,NA,marginal_factor_score_correlation
ITA,FIMI,GEN,-0.20915533714036144,0.039789471737739626,-5.256549735541757,2.039136619183684e-7,-0.20915533714036144,TRUE,NA,marginal_factor_score_correlation
ITA,FIMI,THREAT,0.02333707284243474,0.0406783413137547,0.5736977489429663,0.566385904250997,0.02333707284243474,TRUE,NA,marginal_factor_score_correlation
ITA,FIMI,ABAND,-0.02142925567381966,0.040680079309793664,-0.5267751695031874,0.5985431277312079,-0.02142925567381966,TRUE,NA,marginal_factor_score_correlation
ITA,FIMI,FEAR,0.24856059235459424,0.03941244029760746,6.306653190659782,5.51085123951412e-10,0.24856059235459424,TRUE,NA,marginal_factor_score_correlation
ITA,FIMI,SUPF,-0.21323561879769617,0.03975359892233765,-5.363932438274878,1.1614188973048163e-7,-0.21323561879769617,TRUE,NA,marginal_factor_score_correlation
LTU,FIMI,GEN,-0.29397773796882687,0.03931686302856994,-7.477141239757745,2.7569556303921174e-13,-0.29397773796882687,TRUE,NA,marginal_factor_score_correlation
LTU,FIMI,THREAT,0.028138915945167018,0.04111821514363217,0.6843418627699065,0.49402757763444527,0.028138915945167018,TRUE,NA,marginal_factor_score_correlation
LTU,FIMI,ABAND,-0.0852918814816041,0.04098460969353642,-2.08107097077114,0.0378573861712028,-0.0852918814816041,TRUE,NA,marginal_factor_score_correlation
LTU,FIMI,FEAR,0.18116645059069436,0.04045382814779234,4.478351218797597,9.030740982991025e-6,0.18116645059069436,TRUE,NA,marginal_factor_score_correlation
LTU,FIMI,SUPF,-0.2609355607223228,0.039709448835508185,-6.571120183592029,1.0972271726329622e-10,-0.2609355607223228,TRUE,NA,marginal_factor_score_correlation
LVA,FIMI,GEN,-0.32728228602465415,0.03877080858160569,-8.441461449940691,2.4017388582844156e-16,-0.32728228602465415,TRUE,NA,marginal_factor_score_correlation
LVA,FIMI,THREAT,0.004021838797436586,0.04103016515378182,0.09802151130424798,0.9219482786530232,0.004021838797436586,TRUE,NA,marginal_factor_score_correlation
LVA,FIMI,ABAND,-0.13599930097685992,0.040649279900807814,-3.3456755275548495,8.726061591220811e-4,-0.13599930097685992,TRUE,NA,marginal_factor_score_correlation
LVA,FIMI,FEAR,0.20505811042492048,0.040158590733221526,5.10620782953134,4.4331507599889654e-07,0.20505811042492048,TRUE,NA,marginal_factor_score_correlation
LVA,FIMI,SUPF,-0.30757840326946645,0.03904145094627305,-7.878252365485619,1.5892117063746755e-14,-0.30757840326946645,TRUE,NA,marginal_factor_score_correlation
POL,FIMI,GEN,-0.1434062072585879,0.04047036695581066,-3.543486705103817,4.2568835252167507e-4,-0.1434062072585879,TRUE,NA,marginal_factor_score_correlation
POL,FIMI,THREAT,0.07296109869584956,0.0407840523556736,1.788961480815177,0.0741270401405405,0.07296109869584956,TRUE,NA,marginal_factor_score_correlation
POL,FIMI,ABAND,0.03689846297235684,0.04086519365620323,0.9029313132046237,0.36692590784044055,0.03689846297235684,TRUE,NA,marginal_factor_score_correlation
POL,FIMI,FEAR,0.2757882017475595,0.03930714462226851,7.016235964169181,6.195168464013728e-12,0.2757882017475595,TRUE,NA,marginal_factor_score_correlation
POL,FIMI,SUPF,-0.17227517222503644,0.0402816435997222,-4.276766209863009,2.2072393181872942e-5,-0.17227517222503644,TRUE,NA,marginal_factor_score_correlation
SRB,FIMI,GEN,-0.08932488741614118,0.040526768696018095,-2.204095966449891,0.02789402770602852,-0.08932488741614118,TRUE,NA,marginal_factor_score_correlation
SRB,FIMI,THREAT,0.13650595556293926,0.04030853943213606,3.386526961433627,7.538069185229006e-4,0.13650595556293926,TRUE,NA,marginal_factor_score_correlation
SRB,FIMI,ABAND,0.1597965812808085,0.040166562413416346,3.978348449043118,7.7819606204491e-5,0.1597965812808085,TRUE,NA,marginal_factor_score_correlation
SRB,FIMI,FEAR,0.19670152091061505,0.03989449064171649,4.930543484741978,1.061014701392295e-6,0.19670152091061505,TRUE,NA,marginal_factor_score_correlation
SRB,FIMI,SUPF,-0.05194352018534143,0.040634493199750724,-1.278311013502688,0.20163078647118637,-0.05194352018534143,TRUE,NA,marginal_factor_score_correlation
TUR,FIMI,GEN,0.13824079812209683,0.04053431827081022,3.4104631339426645,6.923111686526335e-4,0.13824079812209683,TRUE,NA,marginal_factor_score_correlation
