country_iso3,country_name,cluster,fimi_variant,factor,alpha_raw,alpha,se,ci_lower_raw,ci_upper_raw,ci_lower,ci_upper,grand_mean,sig_95,sig_90,z,pvalue,is_reference
BEL,Belgium,Western,predictors_only,THREAT,-0.1714102774173515,-0.171491071635224,0.03972514893792041,-0.24928226902286038,-0.09353828581184258,-0.2493630632407329,-0.0936190800297151,8.079421787252713e-5,TRUE,TRUE,-4.31693967726132,1.5820737150010623e-5,FALSE
DEU,Germany,Western,predictors_only,THREAT,-0.14693129843407704,-0.14701209265194956,0.03962537862818417,-0.22460771336007745,-0.06925488350807664,-0.22468850757794998,-0.06933567772594916,8.079421787252713e-5,TRUE,TRUE,-3.7100489065708238,2.072192131129546e-4,FALSE
ITA,Italy,Southern,predictors_only,THREAT,-0.12668358945744726,-0.12676438367531978,0.03936295601526392,-0.20384558538045394,-0.049521593534440564,-0.20392637959832646,-0.04960238775231309,8.079421787252713e-5,TRUE,TRUE,-3.2203979707764803,0.0012801275096111066,FALSE
HUN,Hungary,Central-East,predictors_only,THREAT,-0.09851687593651068,-0.0985976701543832,0.0395922885358737,-0.17612842536900084,-0.02090532650402052,-0.17620921958687336,-0.02098612072189305,8.079421787252713e-5,TRUE,TRUE,-2.490325106239969,0.012762629203501668,FALSE
TUR,Turkey,Southern,predictors_only,THREAT,0.3178996163715343,0.31781882215366175,0.03959228853587404,0.24028806693904348,0.3955111658040251,0.24020727272117096,0.3954303715861526,8.079421787252713e-5,TRUE,TRUE,8.027291018191342,9.964851259699175e-16,FALSE
AUT,Austria,Western,predictors_only,THREAT,-0.15012621034160697,-0.1502070045594795,0.03959228853587361,-0.22773775977409694,-0.072514660909117,-0.22781855399196946,-0.07259545512698952,8.079421787252713e-5,TRUE,TRUE,-3.793844966132245,1.4833230972269805e-4,FALSE
BGR,Bulgaria,Central-East,predictors_only,THREAT,0.46787044140356404,0.4677896471856915,0.03982567667926772,0.3898013883485801,0.5459394944585481,0.38972059413070753,0.5458587002406755,8.079421787252713e-5,TRUE,TRUE,11.745930921726469,7.410196021068177e-32,FALSE
POL,Poland,Central-East,predictors_only,THREAT,0.027021143424426658,0.02694034920655413,0.03955928120330504,-0.05052570274593794,0.10456798959479126,-0.05060649696381047,0.10448719537691874,8.079421787252713e-5,FALSE,FALSE,0.6810121010061062,0.4958638334900589,FALSE
SRB,Serbia,Southern,predictors_only,THREAT,0.49047594711959497,0.4903951529017224,0.039362956015262615,0.4133139511965908,0.5676379430425991,0.41323315697871826,0.5675571488247265,8.079421787252713e-5,TRUE,TRUE,12.458290802946209,1.2604305964692024e-35,FALSE
LTU,Lithuania,Baltic,predictors_only,THREAT,-0.05157564106731184,-0.05165643528518437,0.0397920826819942,-0.12957884083933474,0.026427558704711043,-0.12965963505720726,0.026346764486838516,8.079421787252713e-5,FALSE,FALSE,-1.2981586236138065,0.19423283294446878,FALSE
EST,Estonia,Baltic,predictors_only,THREAT,-0.3425705223501401,-0.3426513165680127,0.039428072612321466,-0.4198601643420733,-0.26528088035820696,-0.41994095855994584,-0.2653616745760795,8.079421787252713e-5,TRUE,TRUE,-8.690541887176408,3.6071478719415425e-18,FALSE
LVA,Latvia,Baltic,predictors_only,THREAT,-0.04694149950900807,-0.0470222937268806,0.039691808479728245,-0.12474813483644434,0.030865135818428202,-0.12482892905431686,0.030784341600555674,8.079421787252713e-5,FALSE,FALSE,-1.1846850906502848,0.23614197950878726,FALSE
FRA,France,Western,predictors_only,THREAT,-0.16746090897332375,-0.16754170319119627,0.03969180847972757,-0.2452675443007587,-0.0896542736458888,-0.24534833851863122,-0.08973506786376131,8.079421787252713e-5,TRUE,TRUE,-4.221064990696191,2.4315081486100226e-5,FALSE
BEL,Belgium,Western,predictors_only,ABAND,-0.11438881459819746,-0.11406431752788358,0.0390877791644501,-0.19101138977667553,-0.03776623941971939,-0.19068689270636166,-0.037441742349405525,-3.244970703138685e-4,TRUE,TRUE,-2.9181580526228466,0.0035210582749225852,FALSE
DEU,Germany,Western,predictors_only,ABAND,-0.15445848734341308,-0.1541339902730992,0.038989609618497394,-0.23088862377055275,-0.07802835091627343,-0.23056412670023888,-0.07770385384595956,-3.244970703138685e-4,TRUE,TRUE,-3.953206810256833,7.711073394098138e-5,FALSE
ITA,Italy,Southern,predictors_only,ABAND,0.07380917621075846,0.07413367328107233,0.03873139744268871,-0.002114794804177547,0.14973314722569447,-0.0017902977338636787,0.15005764429600835,-3.244970703138685e-4,FALSE,TRUE,1.914045920774451,0.05561428851126238,FALSE
HUN,Hungary,Central-East,predictors_only,ABAND,0.016089203302951785,0.016413700373265654,0.03895705043985759,-0.06027710836446995,0.09245551497037352,-0.059952611294156084,0.09278001204068739,-3.244970703138685e-4,FALSE,FALSE,0.4213281084666649,0.6735155076313517,FALSE
TUR,Turkey,Southern,predictors_only,ABAND,0.43093126547808996,0.4312557625484038,0.03895705043985793,0.35456495381066755,0.5072975771455124,0.3548894508809814,0.5076220742158263,-3.244970703138685e-4,TRUE,TRUE,11.07003116712284,1.7533961701476025e-28,FALSE
AUT,Austria,Western,predictors_only,ABAND,-0.12015442023635807,-0.1198299231660442,0.0389570504398575,-0.1965207319037796,-0.043788108568936515,-0.19619623483346574,-0.04346361149862265,-3.244970703138685e-4,TRUE,TRUE,-3.0759495858404247,0.002098333205401756,FALSE
BGR,Bulgaria,Central-East,predictors_only,ABAND,0.34219693409315205,0.3425214311634659,0.039186693989409604,0.26538045921574666,0.41901340897055744,0.2657049562860605,0.4193379060408713,-3.244970703138685e-4,TRUE,TRUE,8.74075856605903,2.315503794868294e-18,FALSE
POL,Poland,Central-East,predictors_only,ABAND,-0.014188156044269887,-0.013863658973956017,0.038924572693121696,-0.09049080258043848,0.06211449049189871,-0.09016630551012461,0.062438987562212576,-3.244970703138685e-4,FALSE,FALSE,-0.3561672746739194,0.7217152981027293,FALSE
SRB,Serbia,Southern,predictors_only,ABAND,0.6238591270718863,0.6241836241422002,0.03873139744268742,0.5479351560569528,0.6997830980868198,0.5482596531272667,0.7001075951571337,-3.244970703138685e-4,TRUE,TRUE,16.115701094075746,1.979066284272189e-58,FALSE
