country_iso3,country_name,cluster,n,age_mean,age_sd,age_min,age_max,pct_female,pct_male,pct_other_gender,pct_pref_not_say,pct_tertiary_education,pct_lower_education,pct_vocational_education,pct_media_daily
AUT,Austria,Western,599,45.619365609348925,16.508597909817986,23.5,67,51.75292153589316,47.91318864774624,0.333889816360601,0,28.213689482470784,28.881469115191987,42.904841402337226,7.6794657762938225
BEL,Belgium,Western,595,46.41848739495798,15.707758095121038,23.5,67,48.90756302521008,51.09243697478991,0,0,45.04201680672269,41.17647058823529,13.781512605042018,10.420168067226891
BGR,Bulgaria,Central-East,592,43.75506756756757,15.102441213972169,23.5,67,54.22297297297297,45.77702702702703,0,0,44.763513513513516,32.939189189189186,22.2972972972973,8.614864864864865
DEU,Germany,Western,598,45.81939799331103,15.751684655497234,23.5,67,50,50,0,0,36.62207357859531,17.05685618729097,46.32107023411371,8.862876254180602
EST,Estonia,Baltic,604,47.10761589403974,15.868473964071136,23.5,67,54.3046357615894,45.36423841059602,0.33112582781456956,0,37.086092715231786,43.211920529801326,19.70198675496689,4.801324503311259
FRA,France,Western,596,45.974832214765094,15.4299513651685,23.5,67,48.65771812080537,51.006711409395976,0.33557046979865773,0,40.77181208053691,32.718120805369125,26.51006711409396,6.0402684563758395
HUN,Hungary,Central-East,599,44.03422370617696,15.357721599654063,23.5,67,52.25375626043406,47.74624373956594,0,0,23.87312186978297,50.58430717863105,25.542570951585976,5.843071786310518
ITA,Italy,Southern,606,48.58168316831683,15.00890681474939,23.5,67,46.36963696369637,53.63036303630363,0,0,35.973597359735976,50.330033003300336,13.696369636963695,11.221122112211221
LTU,Lithuania,Baltic,593,48.07166947723439,15.92898641432865,23.5,67,55.1433389544688,44.18212478920742,0.16863406408094433,0.5059021922428331,50.084317032040474,22.4283305227656,27.48735244519393,7.419898819561552
LVA,Latvia,Baltic,596,47.900167785234906,15.9906385419784,23.5,67,55.70469798657718,43.95973154362416,0.16778523489932887,0.16778523489932887,38.25503355704698,27.01342281879195,34.73154362416108,3.1879194630872485
POL,Poland,Central-East,600,42.61749999999999,15.273219344063861,23.5,67,53.5,46.33333333333333,0,0.16666666666666669,31.5,57.833333333333336,10.666666666666668,11.166666666666666
SRB,Serbia,Southern,606,43.47277227722772,11.649445823911748,23.5,67,67.65676567656766,32.34323432343234,0,0,52.64026402640264,33.4983498349835,13.861386138613863,7.590759075907591
TUR,Turkey,Southern,599,41.792988313856426,14.587748017621333,23.5,67,47.24540901502504,52.75459098497496,0,0,56.093489148580964,23.87312186978297,20.03338898163606,27.378964941569283
