iso,n,short_mean,gen_mean
10,599,-0.011234519815822089,-0.10607569555010803
11,606,0.019047344327840353,0.028527295867275978
12,596,-0.15821887143494132,-0.2974714575562086
13,593,-0.3110730629872296,-0.1191667960718198
14,600,0.003214464939843384,-0.09793641646268562
15,606,0.47416045682544483,0.581843356289753
16,599,0.3153547383216324,0.2324976031209014
18,596,-0.05095074871255102,-0.03698713169155837
4,599,-0.05125112292198817,-0.012011576038281286
5,595,-0.08744933207873018,-0.0890966300591135
6,592,0.4433607396279183,0.5559688642556084
7,604,-0.5267853520792479,-0.6615915970108182
8,598,-0.10106499519904862,-0.04307189021948999
