country_iso3,country_name,cluster,fimi_variant,predictor,posterior_mean,posterior_sd,q025,q05,q95,q975,sig_95,sig_90,eu_pooled_mean,eu_q025,eu_q975,tau_mean,tau_q025,tau_q975,ml_estimate,ml_se,ml_t,ml_p,shrinkage_pct,in_eu_pi95,eu_pi95_lo,eu_pi95_hi
AUT,Austria,Western,russian,GEN,0.11557150034927967,0.07960968695325682,-0.027657272964413285,-0.007050022527632237,0.2569087772837828,0.2887959827584461,FALSE,FALSE,-0.03880842069144989,-0.13126771445766755,0.05759634759381576,0.1378568074551548,0.06930121548757438,0.234649389983545,0.2595412476384077,0.09279944650128683,2.7967973670490447,0.005328619584317931,0.4825537366777094,FALSE,-0.3090077633035533,0.2313909219206535
AUT,Austria,Western,russian,THREAT,0.21045512841428957,0.060281962503697994,0.09487053373663173,0.11211477652901877,0.3116519172500685,0.33362029046590586,TRUE,TRUE,0.12506106610525658,0.056771826708411986,0.19357921741752257,0.10692887606399408,0.057842350456815184,0.1774513548080315,0.27336637422963256,0.06394635999306514,4.274932525624267,2.227728385633582e-5,0.42420090427634993,TRUE,-0.08451953098017181,0.334641663190685
AUT,Austria,Western,russian,ABAND,-0.24796200484528347,0.06859439662476749,-0.38664889986486195,-0.3638878939412724,-0.13883950883681587,-0.1210896051284107,TRUE,TRUE,-0.1273620584280204,-0.19990786033750343,-0.05461858446873178,0.10569633081719251,0.046977826677575774,0.18021126008190733,-0.354349431472997,0.06816472157638867,-5.198428501991254,2.7699349262055175e-7,0.4686931488767585,FALSE,-0.3345268668297177,0.07980274997367692
AUT,Austria,Western,russian,FEAR,0.24468668431097826,0.03877710043517967,0.1672910106605006,0.18089344074908775,0.3108502257709896,0.32265976519300854,TRUE,TRUE,0.23800164128225135,0.18492229539370342,0.29054441646401197,0.07891157267909855,0.03525551235786271,0.14041574616190486,0.2574980720618016,0.04146228327317745,6.210417076292101,9.94562744633883e-10,0.6571145198669472,TRUE,0.08333495883121819,0.39266832373328453
AUT,Austria,Western,russian,SUPF,-0.22486301687963095,0.06926073942160885,-0.3763713015334562,-0.3489940207152793,-0.12019132214688244,-0.0991932892691195,TRUE,TRUE,-0.2057783272736831,-0.2848264827800838,-0.12483624429789202,0.08932792109589184,0.006631753434470745,0.19364986271404602,-0.32264649281657,0.08771101114468301,-3.6785175385146456,2.559323646445096e-4,0.8366989888367471,TRUE,-0.38086105262163106,-0.03069560192573509
BEL,Belgium,Western,russian,GEN,0.01865466255806876,0.07084642050756282,-0.1240326109546088,-0.10250394643551755,0.13267320626184276,0.1557940629342085,FALSE,FALSE,-0.03880842069144989,-0.13126771445766755,0.05759634759381576,0.1378568074551548,0.06930121548757438,0.234649389983545,0.005623539152811192,0.09744839580382861,0.05770786790715185,0.9540008981326968,-0.293282660745398,TRUE,-0.3090077633035533,0.2313909219206535
BEL,Belgium,Western,russian,THREAT,0.18971554611925764,0.059576497509533324,0.07788460927776124,0.09266888221231437,0.28619232914844156,0.30604314388307696,TRUE,TRUE,0.12506106610525658,0.056771826708411986,0.19357921741752257,0.10692887606399408,0.057842350456815184,0.1774513548080315,0.21877561961791778,0.06778941071029317,3.2272831010861527,0.0013191098474262949,0.3100913615806109,TRUE,-0.08451953098017181,0.334641663190685
BEL,Belgium,Western,russian,ABAND,-0.1709934468200278,0.0624177263257821,-0.29924072004780183,-0.2783281790915488,-0.0729189308647157,-0.05591568104391371,TRUE,TRUE,-0.1273620584280204,-0.19990786033750343,-0.05461858446873178,0.10569633081719251,0.046977826677575774,0.18021126008190733,-0.22429670450138808,0.06878263850984068,-3.2609494105012873,0.0011745154144260955,0.5498886088779469,TRUE,-0.3345268668297177,0.07980274997367692
BEL,Belgium,Western,russian,FEAR,0.31354877111579116,0.04251777906831285,0.23499374476168894,0.24586418524142922,0.38506071727446195,0.39793432652691363,TRUE,TRUE,0.23800164128225135,0.18492229539370342,0.29054441646401197,0.07891157267909855,0.03525551235786271,0.14041574616190486,0.35335320292538835,0.0448490615342697,7.878720107786134,1.6036668869842687e-14,0.34507059325941436,TRUE,0.08333495883121819,0.39266832373328453
BEL,Belgium,Western,russian,SUPF,-0.18739182451150702,0.06718760443919157,-0.31682328095799606,-0.29240357963067815,-0.07046565660264133,-0.045195585639520246,TRUE,TRUE,-0.2057783272736831,-0.2848264827800838,-0.12483624429789202,0.08932792109589184,0.006631753434470745,0.19364986271404602,-0.1535931105000994,0.09665824011386721,-1.5890327645026505,0.11258959862095264,0.6476683647411161,TRUE,-0.38086105262163106,-0.03069560192573509
