country_iso3,country_name,cluster,construct_id,construct_label,construct_family,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
LTU,Lithuania,Baltic,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,593,4.844856661045531,1.200095506971498,0.04947420815462994,4.743114109050028,4.937413340828181,1,7
POL,Poland,Central-East,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,600,4.6994444444444445,1.1949003068614832,0.04805069100058842,4.60574537037037,4.792587962962963,1,7
LVA,Latvia,Baltic,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,596,4.680648769574944,1.094929433987467,0.04336895530845177,4.598256897837435,4.764350298284862,1,7
EST,Estonia,Baltic,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,604,4.597682119205298,1.106385539320812,0.04550857944962736,4.509018579838116,4.688176048565121,1,7
SRB,Serbia,Southern,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,606,4.52970297029703,1.15840745299154,0.04711331246286641,4.438943894389439,4.616785845251192,1,7
BEL,Belgium,Western,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,595,4.476750700280112,1.1301281227903337,0.04749380596128079,4.383384687208217,4.568067226890756,1,7
BGR,Bulgaria,Central-East,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,592,4.445945945945946,1.2128621052134956,0.05014997726495883,4.3459271771771775,4.544289602102102,1,7
AUT,Austria,Western,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,599,4.444629938786867,1.1431555189276856,0.04738663418356233,4.355416434798739,4.541253941754777,1,7
TUR,Turkey,Southern,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,599,4.377851975514747,1.325458596718828,0.05633769471367111,4.265266184381376,4.480801335559265,1,7
HUN,Hungary,Central-East,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,599,4.363939899833055,1.1555007888069129,0.0474446572052559,4.265822667408644,4.4577953997403075,1,7
DEU,Germany,Western,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,598,4.32329988851728,1.1647673934982112,0.04800341645496013,4.227615198810851,4.4169453734671125,1,7
ITA,Italy,Southern,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,606,4.268426842684269,1.106539796762889,0.04548045009945153,4.178405757242391,4.352745691235791,1,7
FRA,France,Western,fimi_chinese_origin,FIMI: Chinese-origin (news6-8),fimi,596,4.133668903803132,1.1708535831436204,0.04898794733694352,4.041018829231916,4.229483594332588,1,7
LTU,Lithuania,Baltic,fimi_full,FIMI: Full (news1-8),fimi,593,5.254215851602024,1.0195684288129394,0.0433484097210276,5.169970840359753,5.33789523608769,1,7
LVA,Latvia,Baltic,fimi_full,FIMI: Full (news1-8),fimi,596,5.140729865771812,0.8903303206372521,0.03505129975191925,5.071943162751678,5.21105634787472,1,7
EST,Estonia,Baltic,fimi_full,FIMI: Full (news1-8),fimi,604,5.035389072847682,0.981728121945873,0.04060432559679729,4.955929221854305,5.116095819536424,1,7
POL,Poland,Central-East,fimi_full,FIMI: Full (news1-8),fimi,600,4.942916666666666,0.9558938913960258,0.04031411979033828,4.861666666666666,5.020685763888888,1,7
SRB,Serbia,Southern,fimi_full,FIMI: Full (news1-8),fimi,606,4.881806930693069,0.99145630962857,0.03935061740509407,4.801779084158416,4.953100935093509,1,7
BEL,Belgium,Western,fimi_full,FIMI: Full (news1-8),fimi,595,4.823529411764706,0.9088584694922726,0.03708831578729927,4.7513322829131655,4.891596638655463,1,7
HUN,Hungary,Central-East,fimi_full,FIMI: Full (news1-8),fimi,599,4.784432387312187,0.9979016085871802,0.04143199134622689,4.7035510573177515,4.86504938786867,1,7
