country_iso3,country_name,cluster,item_code,item_short_label,origin,truth_value,short_form,n,mean,sd,se
EST,Estonia,Baltic,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,604,4.771523178807947,1.825955393476065,0.07429707127208865
EST,Estonia,Baltic,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,604,4.185430463576158,1.6865637138851757,0.068625304267099
EST,Estonia,Baltic,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,604,4.836092715231787,1.5912140503120102,0.06474558147892125
FRA,France,Western,news1,Zelensky / King Charles mansion,Russian-origin,false,FALSE,596,5.37751677852349,1.8480326695210723,0.07569836765168386
FRA,France,Western,news2,France / Russia in Ukraine,Russian-origin,false,TRUE,596,5.05536912751678,1.8494481660695594,0.07575634864947912
FRA,France,Western,news3,Milan-Cortina 'openly LGBT' Olympics,Russian-origin,false,FALSE,596,4.691275167785235,1.7941054890022616,0.07348942426845376
FRA,France,Western,news4,Ukrainian army tolerance mentor,Russian-origin,false,FALSE,596,4.795302013422818,1.60933560362815,0.06592095486599794
FRA,France,Western,news5,Kyiv LGBT brigades,Russian-origin,false,TRUE,596,5.369127516778524,1.7085017006204746,0.06998295647046791
FRA,France,Western,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,596,3.879194630872483,1.788526464248055,0.07326089851025315
FRA,France,Western,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,596,4.075503355704698,1.5533116419867536,0.06362612398146962
FRA,France,Western,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,596,4.446308724832216,1.6988784630631717,0.0695887733011839
HUN,Hungary,Central-East,news1,Zelensky / King Charles mansion,Russian-origin,false,FALSE,599,5.113522537562605,1.8298347182363592,0.07476501971997404
HUN,Hungary,Central-East,news2,France / Russia in Ukraine,Russian-origin,false,TRUE,599,5.126878130217028,1.69809910549398,0.06938244850392467
HUN,Hungary,Central-East,news3,Milan-Cortina 'openly LGBT' Olympics,Russian-origin,false,FALSE,599,4.831385642737897,1.749328562026188,0.07147562735210267
