country_iso3,country_name,cluster,fimi_variant,n_country,bayes_r2,residual_sd,max_rhat_country,global_max_rhat
AUT,Austria,Western,full,599,0.09361504516636103,0.8290721160378605,1.0014729533497075,1.0066628602010959
BEL,Belgium,Western,full,595,0.13089551319242415,0.8365946187793548,1.001221462233865,1.0066628602010959
BGR,Bulgaria,Central-East,full,592,0.10766135090193282,0.9566401607997562,1.001594503069666,1.0066628602010959
DEU,Germany,Western,full,598,0.10977576494000398,0.9086305468064971,1.0014224622181622,1.0066628602010959
EST,Estonia,Baltic,full,604,0.0929212120841574,0.9355255196475496,1.004367912198815,1.0066628602010959
FRA,France,Western,full,596,0.1168873449939116,0.9205301064545596,1.0021507754654126,1.0066628602010959
HUN,Hungary,Central-East,full,599,0.11862058319169916,0.9507004232314153,1.0013714553115853,1.0066628602010959
ITA,Italy,Southern,full,606,0.09833685431351134,0.8991697765801548,1.0016090913292044,1.0066628602010959
LTU,Lithuania,Baltic,full,593,0.12265081010510652,0.9508638805420893,1.001784511846224,1.0066628602010959
LVA,Latvia,Baltic,full,596,0.14797950617632807,0.8294112822464496,1.0010887134142388,1.0066628602010959
POL,Poland,Central-East,full,600,0.09437687353796975,0.9104601984682464,1.0015175090740729,1.0066628602010959
SRB,Serbia,Southern,full,606,0.06792280637994523,0.9620038801087563,1.002982085269865,1.0066628602010959
TUR,Turkey,Southern,full,599,0.10833684549104111,1.0715046205173393,1.0010699679404957,1.0066628602010959
