country_iso3,country_name,cluster,fimi_variant,predictor,posterior_mean,posterior_sd,q025,q05,q95,q975,sig_95,sig_90,eu_pooled_mean,eu_q025,eu_q975,tau_mean,tau_q025,tau_q975,ml_estimate,ml_se,ml_t,ml_p,shrinkage_pct,in_eu_pi95,eu_pi95_lo,eu_pi95_hi
AUT,Austria,Western,full,GEN,0.10340191865038265,0.07709662645430738,-0.04081800574926268,-0.019439704672437136,0.2353807732707546,0.2657354186821669,FALSE,FALSE,-0.06467160253549818,-0.1672822337398803,0.035850151636035436,0.14674573422780682,0.07676800214642907,0.24213209550463416,0.24937273299791274,0.09451746974752041,2.6383771557157543,0.00854915471689072,0.46480957569126535,FALSE,-0.35229324162199954,0.22295003655100315
AUT,Austria,Western,full,THREAT,0.12793782400958367,0.058469361218813756,0.015874468306538804,0.032880566550980095,0.22656708198955217,0.24580044469580153,TRUE,TRUE,0.09438265037215082,0.02448058654516806,0.1662695895702628,0.09963193776962448,0.0443138277109805,0.16920999718127108,0.17398807869476984,0.0651453218252686,2.670768580458271,0.00777545743224408,0.5784813379629978,TRUE,-0.10089594765631316,0.2896612484006148
AUT,Austria,Western,full,ABAND,-0.1405051014906105,0.06458750454085059,-0.2700771923112696,-0.25023048832534495,-0.039882420295274564,-0.023644440728384276,TRUE,TRUE,-0.05807386442164764,-0.12315757147360723,0.006389091141619777,0.08821745997938614,0.02366658928288546,0.16525826213961398,-0.24195911300069553,0.06946760898250887,-3.4830493886959317,5.322622949872258e-4,0.551724579834757,FALSE,-0.23098008598124448,0.1148323571379492
AUT,Austria,Western,full,FEAR,0.24414089492520707,0.03766361357743889,0.1745808814415793,0.1845951876632998,0.30736455609295205,0.3216772677929816,TRUE,TRUE,0.22121952784106103,0.1776443191066023,0.26765544221602516,0.06242120585243987,0.01992364299481319,0.11883443927774259,0.26759189125247,0.04216029624233042,6.3470116460851225,4.3646762241189275e-10,0.5057106130047556,TRUE,0.09887396437027889,0.34356509131184315
AUT,Austria,Western,full,SUPF,-0.14151975326420116,0.06676365379964862,-0.29239232747755045,-0.2590953089035229,-0.03713360019400652,-0.017655235161812766,TRUE,TRUE,-0.12356529551769466,-0.20320094380044007,-0.042524234128269126,0.08884507927377394,0.0068861244025782775,0.19401071365772954,-0.2367720011572501,0.08927884803370674,-2.6520503609976926,0.0082145121151569,0.8414011109582801,TRUE,-0.29770165089429157,0.050571059858902256
BEL,Belgium,Western,full,GEN,-0.011627181526399473,0.07359798616758804,-0.16275978317084294,-0.1376783946850393,0.10376950699788676,0.12519302078485373,FALSE,FALSE,-0.06467160253549818,-0.1672822337398803,0.035850151636035436,0.14674573422780682,0.07676800214642907,0.24213209550463416,-0.0730020367646626,0.09933727670912514,-0.7348906592076591,0.46269857532752967,7.367545742500784,TRUE,-0.35229324162199954,0.22295003655100315
BEL,Belgium,Western,full,THREAT,0.16823952931576366,0.06040340995790811,0.054251884407606775,0.07238112373410165,0.27029011794649555,0.2917327533541036,TRUE,TRUE,0.09438265037215082,0.02448058654516806,0.1662695895702628,0.09963193776962448,0.0443138277109805,0.16920999718127108,0.20314801379238476,0.06910615252796577,2.9396516281263834,0.0034146536581357457,0.32095221657786477,TRUE,-0.10089594765631316,0.2896612484006148
BEL,Belgium,Western,full,ABAND,-0.08533182821353198,0.05957343336213182,-0.20610214818138028,-0.18616083830287516,0.007672080101631367,0.027125630775046906,FALSE,FALSE,-0.05807386442164764,-0.12315757147360723,0.006389091141619777,0.08821745997938614,0.02366658928288546,0.16525826213961398,-0.14038687217680518,0.07013037486207031,-2.001798399807681,0.04576453802162881,0.6688498630378815,TRUE,-0.23098008598124448,0.1148323571379492
BEL,Belgium,Western,full,FEAR,0.278850154202949,0.04300476590052366,0.20145600512661463,0.2120135033336654,0.3512019322066453,0.36762345126225093,TRUE,TRUE,0.22121952784106103,0.1776443191066023,0.26765544221602516,0.06242120585243987,0.01992364299481319,0.11883443927774259,0.324760675527459,0.04573000204574718,7.1016982505834205,3.5655601797456964e-12,0.4434036356595378,TRUE,0.09887396437027889,0.34356509131184315
BEL,Belgium,Western,full,SUPF,-0.07004724893104415,0.07034630836999702,-0.19517877396675853,-0.17498361642773655,0.05878158821880701,0.08624690508036117,FALSE,FALSE,-0.12356529551769466,-0.20320094380044007,-0.042524234128269126,0.08884507927377394,0.0068861244025782775,0.19401071365772954,0.014152047557477123,0.09848965109447708,0.1436907065890775,0.8857938565267991,0.6113921065305612,TRUE,-0.29770165089429157,0.050571059858902256
BGR,Bulgaria,Central-East,full,GEN,0.004759750890637489,0.07835427687181003,-0.1346889192694982,-0.11723824387765992,0.14332442638627788,0.17703263647857134,FALSE,FALSE,-0.06467160253549818,-0.1672822337398803,0.035850151636035436,0.14674573422780682,0.07676800214642907,0.24213209550463416,0.12827666492594236,0.11833864508166125,1.0839794966168763,0.27881966959697896,0.6401556005678513,TRUE,-0.35229324162199954,0.22295003655100315
BGR,Bulgaria,Central-East,full,THREAT,0.08541315692121361,0.057411778349706795,-0.03152509674470003,-0.00892417620517049,0.17824462975096042,0.19830367520999648,FALSE,FALSE,0.09438265037215082,0.02448058654516806,0.1662695895702628,0.09963193776962448,0.0443138277109805,0.16920999718127108,0.04718359206737652,0.08057970093868412,0.5855518389585505,0.5584021468254327,0.8099645676610898,TRUE,-0.10089594765631316,0.2896612484006148
BGR,Bulgaria,Central-East,full,ABAND,0.0038721776684432882,0.06421807585308378,-0.11192884061655009,-0.09472594961197425,0.11600834928942871,0.1387788752082495,FALSE,FALSE,-0.05807386442164764,-0.12315757147360723,0.006389091141619777,0.08821745997938614,0.02366658928288546,0.16525826213961398,0.07347706007007103,0.08788858256581789,0.8360250890955674,0.40348154609592957,0.5291097928088637,TRUE,-0.23098008598124448,0.1148323571379492
BGR,Bulgaria,Central-East,full,FEAR,0.2623562534159489,0.03581348934934694,0.19665250278349528,0.20558033263901154,0.3232142677319509,0.33622774311861203,TRUE,TRUE,0.22121952784106103,0.1776443191066023,0.26765544221602516,0.06242120585243987,0.01992364299481319,0.11883443927774259,0.27804290868042814,0.045024593979064324,6.175356268836392,1.2344592596547606e-9,0.2760598724110328,TRUE,0.09887396437027889,0.34356509131184315
BGR,Bulgaria,Central-East,full,SUPF,-0.17289869248408943,0.07365602577830983,-0.33630914996903316,-0.3066188488245829,-0.06847399470707796,-0.047884659154531134,TRUE,TRUE,-0.12356529551769466,-0.20320094380044007,-0.042524234128269126,0.08884507927377394,0.0068861244025782775,0.19401071365772954,-0.3256439711343631,0.11720936602920232,-2.7783101484674018,0.005639353763177176,0.7558703469534936,FALSE,-0.29770165089429157,0.050571059858902256
DEU,Germany,Western,full,GEN,-0.09933635380885042,0.07494416115563417,-0.2570376960840184,-0.23282583645414856,0.018488709890281573,0.038801889490276985,FALSE,FALSE,-0.06467160253549818,-0.1672822337398803,0.035850151636035436,0.14674573422780682,0.07676800214642907,0.24213209550463416,-0.198630304503315,0.10334094084245427,-1.9220872471650094,0.055074405394467084,0.7412280742935211,TRUE,-0.35229324162199954,0.22295003655100315
DEU,Germany,Western,full,THREAT,0.18878103069366003,0.058940407486782066,0.07668091528421864,0.09347273855126415,0.2856849629445082,0.30511006530246826,TRUE,TRUE,0.09438265037215082,0.02448058654516806,0.1662695895702628,0.09963193776962448,0.0443138277109805,0.16920999718127108,0.25945472413593296,0.07023908378166621,3.693879677337929,2.413114349624714e-4,0.4281383993721849,TRUE,-0.10089594765631316,0.2896612484006148
DEU,Germany,Western,full,ABAND,-0.12502072728974778,0.062084741678534124,-0.2529709403722232,-0.23091273931493614,-0.02831228002877589,-0.014258166356593951,TRUE,TRUE,-0.05807386442164764,-0.12315757147360723,0.006389091141619777,0.08821745997938614,0.02366658928288546,0.16525826213961398,-0.20999835308598366,0.0751262349270238,-2.795273226323295,0.00535376037430913,0.5593411999824898,TRUE,-0.23098008598124448,0.1148323571379492
