country_iso3,country_name,cluster,fimi_variant,rank,predictor_id,std_all,posterior_sd,q025,q975,sig,shrinkage_pct,eu_pooled_mean,in_eu_pi95
AUT,Austria,Western,full,1,FEAR,0.24414089492520707,0.03766361357743889,0.1745808814415793,0.3216772677929816,TRUE,0.5057106130047556,0.22121952784106103,TRUE
AUT,Austria,Western,full,2,SUPF,-0.14151975326420116,0.06676365379964862,-0.29239232747755045,-0.017655235161812766,TRUE,0.8414011109582801,-0.12356529551769466,TRUE
AUT,Austria,Western,full,3,ABAND,-0.1405051014906105,0.06458750454085059,-0.2700771923112696,-0.023644440728384276,TRUE,0.551724579834757,-0.05807386442164764,FALSE
BEL,Belgium,Western,full,1,FEAR,0.278850154202949,0.04300476590052366,0.20145600512661463,0.36762345126225093,TRUE,0.4434036356595378,0.22121952784106103,TRUE
BEL,Belgium,Western,full,2,THREAT,0.16823952931576366,0.06040340995790811,0.054251884407606775,0.2917327533541036,TRUE,0.32095221657786477,0.09438265037215082,TRUE
BEL,Belgium,Western,full,3,ABAND,-0.08533182821353198,0.05957343336213182,-0.20610214818138028,0.027125630775046906,FALSE,0.6688498630378815,-0.05807386442164764,TRUE
BGR,Bulgaria,Central-East,full,1,FEAR,0.2623562534159489,0.03581348934934694,0.19665250278349528,0.33622774311861203,TRUE,0.2760598724110328,0.22121952784106103,TRUE
BGR,Bulgaria,Central-East,full,2,SUPF,-0.17289869248408943,0.07365602577830983,-0.33630914996903316,-0.047884659154531134,TRUE,0.7558703469534936,-0.12356529551769466,FALSE
BGR,Bulgaria,Central-East,full,3,THREAT,0.08541315692121361,0.057411778349706795,-0.03152509674470003,0.19830367520999648,FALSE,0.8099645676610898,0.09438265037215082,TRUE
DEU,Germany,Western,full,1,FEAR,0.22068002511442183,0.036878603186455854,0.14952720845010223,0.29367643788926306,TRUE,1.0598456889366525,0.22121952784106103,TRUE
DEU,Germany,Western,full,2,THREAT,0.18878103069366003,0.058940407486782066,0.07668091528421864,0.30511006530246826,TRUE,0.4281383993721849,0.09438265037215082,TRUE
DEU,Germany,Western,full,3,ABAND,-0.12502072728974778,0.062084741678534124,-0.2529709403722232,-0.014258166356593951,TRUE,0.5593411999824898,-0.05807386442164764,TRUE
EST,Estonia,Baltic,full,1,SUPF,-0.1974930426836183,0.0906803403834011,-0.39926604772210433,-0.05193122233086313,TRUE,0.7302254710324803,-0.12356529551769466,FALSE
EST,Estonia,Baltic,full,2,FEAR,0.15366841957491376,0.03925753531532059,0.07446077346953577,0.22411459600426187,TRUE,0.35372257669772955,0.22121952784106103,TRUE
EST,Estonia,Baltic,full,3,GEN,-0.1511207181676905,0.08609214720140011,-0.30809450574747094,0.028105960760398403,FALSE,2.529855538221711,-0.06467160253549818,TRUE
FRA,France,Western,full,1,FEAR,0.2722794745717188,0.04076719684424911,0.20010875577682907,0.35757181582336145,TRUE,0.49051726451258004,0.22121952784106103,TRUE
FRA,France,Western,full,2,SUPF,-0.16747889062105034,0.06627615963472439,-0.31309529569919164,-0.05320200179913629,TRUE,0.6048578845159573,-0.12356529551769466,TRUE
FRA,France,Western,full,3,THREAT,0.06795813257749181,0.05410402542505402,-0.04519136199950311,0.17116845411847487,FALSE,0.6759286736733423,0.09438265037215082,TRUE
