country_iso3,country_name,cluster,fimi_variant,factor,alpha_raw,alpha,se,ci_lower,ci_upper,z,pvalue,grand_mean,is_reference,sig_95,sig_90
AUT,Austria,Western,predictors_only,GEN,0.03747073199288407,0.0010939614447847412,0.018574257900367895,-0.03531091507949489,0.03749883796906437,2.017347459794983,0.04365926609359727,0.036376770548099326,FALSE,FALSE,FALSE
BEL,Belgium,Western,predictors_only,GEN,0,-0.036376770548099326,0,-0.036376770548099326,-0.036376770548099326,NA,NA,0.036376770548099326,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,predictors_only,GEN,0.27283017007323473,0.23645339952513542,0.03237122278143202,0.17300696873800617,0.29989983031226464,8.428170042119287,0,0.036376770548099326,FALSE,TRUE,TRUE
DEU,Germany,Western,predictors_only,GEN,0.0321460584146558,-0.004230712133443525,0.018586152544502632,-0.04065890173183616,0.0321974774649491,1.7295703528573418,0.08370706677332462,0.036376770548099326,FALSE,FALSE,FALSE
EST,Estonia,Baltic,predictors_only,GEN,-0.1440755794673427,-0.18045235001544202,0.02214002223046928,-0.22384599620407794,-0.1370587038268061,-6.507472213332501,7.642597665835638e-11,0.036376770548099326,FALSE,TRUE,TRUE
FRA,France,Western,predictors_only,GEN,0.029897688209720243,-0.006479082338379082,0.01831666051499114,-0.04237907726480858,0.029420912588050414,1.6322674204312897,0.10262316332938126,0.036376770548099326,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,predictors_only,GEN,0.05994605584909312,0.023569285300993795,0.01819333477509106,-0.0120889956168648,0.05922756621885238,3.2949460112813806,9.844059057497745e-4,0.036376770548099326,FALSE,FALSE,FALSE
ITA,Italy,Southern,predictors_only,GEN,0.03143487007478933,-0.0049419004733099944,0.018360742206342155,-0.0409282939271651,0.031044492980545117,1.7120696822338217,0.08688382772746062,0.036376770548099326,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,predictors_only,GEN,-0.12481622301947774,-0.16119299356757708,0.02059950128685986,-0.2015672741893089,-0.12081871294584526,-6.0591866415278846,1.3681156207923095e-9,0.036376770548099326,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,predictors_only,GEN,-0.09350780643921203,-0.12988457698731135,0.019534342411900815,-0.16817118457631022,-0.09159796939831247,-4.78684178189918,1.694262941942526e-6,0.036376770548099326,FALSE,TRUE,TRUE
